Apps,Enroll,Top10perc,Top25perc,Outstate
7178,1433,25,63,7161
1006,317,33,65,8200
467,350,16,40,6300
1721,806,35,75,5504
2083,430,22,49,17480
13865,1606,90,100,18485
1377,178,95,100,17230
817,262,22,52,9376
823,274,52,87,8800
920,347,35,66,11090
922,244,37,66,14067
2688,500,25,53,19029
7428,1349,25,63,11600
602,215,26,58,13470
699,176,36,64,13960
1712,624,37,69,12275
949,302,30,70,9990
608,127,26,47,8080
450,125,20,46,9950
600,124,3,9,7260
723,361,10,30,7800
607,269,22,47,10500
894,262,28,63,8050
1756,478,42,77,14550
8681,2408,10,35,7799
3050,471,55,86,14360
268,103,16,44,10000
1163,386,16,49,8840
5659,3147,10,31,6892
16587,5873,25,72,9766
735,366,20,48,9210
4892,913,13,33,10690
8427,3441,26,59,7550
7259,1368,23,52,14424
11223,2082,32,72,7994
472,262,14,41,7620
2957,691,10,30,3946
605,284,24,53,6398
2421,820,27,57,11700
8474,911,75,94,18800
833,279,3,13,7656
313,137,10,30,9414
1005,298,36,55,14850
5880,2833,25,55,6995
589,148,16,40,8400
3121,822,5,19,7870
584,175,20,49,8000
2212,408,44,75,19240
461,174,10,43,9600
1456,381,20,45,10910
355,142,34,65,8664
1040,286,48,77,15747
361,185,10,41,8842
2929,622,20,56,12600
4010,572,36,59,18730
544,177,15,35,6987
979,271,31,70,16880
497,231,24,47,9400
2336,1043,10,27,4752
831,224,15,35,5170
1166,510,9,33,4938
1243,324,50,77,17163
1470,425,21,76,11040
1386,320,28,56,13850
6397,1092,40,84,18700
979,259,25,46,10100
244,82,12,33,11700
477,204,29,54,8840
2774,482,35,64,15800
1154,395,12,31,10560
787,363,21,55,5950
1660,326,15,41,4818
810,356,6,33,9200
1561,458,48,72,13380
900,217,22,47,4400
3570,651,17,41,7352
2747,724,12,47,7920
1641,527,20,39,11200
2013,212,33,61,5150
5996,3079,29,57,5925
2397,1525,22,45,3957
4076,738,25,54,12990
3768,753,42,64,13592
1891,719,24,80,11100
3579,868,25,55,11500
1549,587,38,72,13240
1286,363,16,37,13900
1756,366,3,21,12450
535,223,6,20,7320
2939,452,56,86,15909
740,177,12,29,9620
874,428,21,46,9858
1004,239,23,63,10440
2432,563,20,63,12370
962,212,21,54,14700
3073,1547,9,29,4300
824,337,15,41,9400
1611,342,27,60,13850
4731,830,12,31,10700
5152,1685,36,71,11610
4226,2007,14,60,5094
499,199,26,52,11200
4350,756,39,78,6490
478,117,9,34,11510
695,239,21,30,10200
941,214,10,30,11390
1464,176,26,52,11200
549,169,26,51,9250
1107,323,13,51,11040
6411,1078,96,99,20100
233,153,5,12,4486
1002,119,16,43,7680
578,187,25,50,6930
420,93,11,32,7950
2286,564,37,70,11985
1557,397,15,40,9813
857,376,25,58,6720
1981,514,18,36,12500
1584,891,6,18,5016
1742,607,30,64,10300
9239,3290,35,39,8856
18114,6180,23,57,10658
2618,1032,42,77,8127
331,225,15,36,6840
6011,960,22,60,7844
610,189,26,52,8200
1444,456,29,62,11910
905,319,32,61,11320
1217,496,36,69,11505
594,307,36,57,5580
4255,1609,18,57,9866
480,380,19,46,4386
1576,913,13,50,3840
1310,316,5,35,8550
601,204,28,57,13000
2707,478,14,34,12480
572,320,45,72,6073
3500,1779,15,42,5552
5220,865,19,53,3648
263,103,10,24,8438
2442,1189,12,37,4426
1232,303,23,58,14990
3708,722,41,66,7050
586,239,16,36,10520
882,330,2,13,4515
1800,526,47,79,19300
279,126,17,37,6844
235,121,12,32,8950
368,159,20,49,10500
325,95,16,33,9900
1321,328,15,36,12850
1170,238,14,48,7470
657,113,37,90,12474
1310,458,26,61,12250
510,334,18,36,7400
2519,462,30,61,16975
2225,1190,29,55,4738
1109,375,24,46,13240
513,279,23,48,9090
947,266,36,68,10850
1879,483,27,62,8832
787,233,40,73,5376
13594,2505,70,86,17748
872,154,14,36,10194
2220,467,65,99,10320
1563,240,1,19,5542
4809,1429,12,33,6806
10634,3176,39,78,8400
812,195,7,24,8242
1127,308,30,64,11718
2968,1610,13,47,5834
465,176,19,39,12580
6040,1620,36,72,4856
11901,2517,16,42,13380
5891,1973,23,48,6746
10706,2397,12,37,7799
2729,1257,8,29,3735
616,385,29,52,9840
860,366,22,56,9900
12289,1902,85,98,16404
1743,626,8,29,14134
379,107,15,37,9990
3041,1173,16,56,9114
4778,678,50,89,19670
2324,370,52,81,16560
792,186,56,87,12900
2936,669,35,62,15990
11023,3183,21,54,7629
2190,458,36,65,16732
758,484,35,59,5390
776,351,22,44,6400
4522,2181,29,57,5336
1496,428,26,57,12888
910,450,31,73,6530
2308,295,22,46,8530
8256,1522,37,70,11000
1603,504,31,68,13312
940,385,20,48,11925
943,288,41,71,14210
944,440,14,34,6360
19315,3450,48,93,10645
3821,680,86,96,18200
701,458,10,40,2580
838,159,11,25,8640
1538,468,19,42,11690
692,174,19,50,10500
663,127,20,40,5640
404,169,28,48,6000
1133,220,37,73,17688
809,428,20,43,10178
875,207,7,38,9700
1132,302,58,89,16200
2405,1061,10,22,4290
1082,302,34,63,11859
13218,1153,90,98,19900
5139,973,20,55,14400
21804,5874,29,60,9556
516,154,32,62,11020
1025,297,22,66,10100
3712,806,17,45,12030
5702,1742,15,37,6684
2088,362,6,29,4449
1771,306,21,46,13840
696,169,35,66,13970
1966,327,47,80,19960
427,143,18,38,12700
4996,936,53,82,17475
2302,391,58,82,15200
3586,730,16,31,13250
587,211,28,52,15200
484,141,6,28,9870
2227,437,27,54,13425
935,345,22,50,9490
560,270,11,31,8734
3304,679,10,20,12520
1777,382,31,55,16425
434,141,28,53,10950
3820,695,21,70,4356
48094,4520,36,79,7410
3366,232,27,79,7411
5785,499,26,62,7410
2307,509,19,51,11070
897,276,12,48,10450
2095,514,15,40,12950
3971,1921,10,34,4259
213,85,13,36,8670
1046,284,21,45,10880
933,444,18,45,12247
920,225,24,42,11200
833,217,12,33,9985
2519,776,39,71,12750
292,96,20,52,12200
3294,956,44,67,11690
888,393,26,60,12730
876,367,14,35,10800
150,88,23,50,10300
1910,463,16,64,13030
2248,745,38,73,14350
1606,530,23,38,9408
700,278,19,35,10850
785,295,15,65,10860
489,120,23,52,10575
335,132,28,69,10475
4216,736,20,52,5130
1680,691,34,76,8236
9402,2151,20,70,8384
4019,888,40,73,13584
1380,263,57,82,19300
1109,386,20,65,8325
584,131,19,51,8955
855,139,60,83,17238
1183,411,42,82,12669
2115,494,28,72,12825
4576,1000,16,36,12000
936,197,24,56,11240
5818,1116,14,53,7844
540,165,23,70,7210
2961,628,24,68,10800
464,183,10,31,9240
1003,295,23,53,16160
1016,300,27,57,11250
437,211,13,35,8990
4293,591,25,62,18710
2925,632,51,88,18820
2807,1701,13,37,3811
2281,1408,18,43,4680
818,447,20,50,3738
385,193,18,38,9520
2540,994,13,40,5472
4301,1166,41,69,12772
1093,642,12,32,7070
6118,3204,15,37,4740
1047,511,13,33,4285
321,172,11,27,7536
213,75,28,66,7200
1244,352,44,77,11850
283,97,10,45,8400
3713,443,47,83,7000
372,181,15,32,8600
1489,375,13,45,10456
323,122,31,51,16150
1368,354,19,51,10570
2753,505,31,56,18720
191,63,5,25,11550
2643,465,36,80,13332
1340,285,42,73,6800
1243,414,33,60,8678
1334,568,30,56,12140
651,243,8,17,5000
861,215,10,27,8650
450,194,17,34,13900
1557,489,37,69,12315
1768,380,51,93,16900
4019,710,23,65,3040
3646,585,25,69,12170
13528,1843,16,61,6550
14463,1757,60,94,6550
15039,3087,36,100,6550
12512,1724,27,66,6550
7294,904,7,34,6550
8000,1464,17,70,6550
5318,1025,8,29,6550
7888,1036,6,40,6550
4877,814,13,48,6550
8598,1143,56,93,6550
8399,656,19,53,6550
5549,853,9,40,6550
3150,650,16,51,6840
2119,390,5,33,6550
2096,465,27,59,16130
462,146,36,68,14500
10477,2442,28,67,15150
257,109,19,41,7850
4414,335,30,60,5666
1769,437,41,80,10965
232,99,7,29,7070
14474,6392,49,85,5130
529,243,22,47,4860
4095,1195,33,64,8490
497,215,27,57,7850
4345,2604,15,85,7860
592,279,19,44,6400
1500,611,12,36,7070
1154,253,15,31,11172
845,254,5,21,7600
759,244,57,81,10900
5042,944,55,94,5391
1262,276,14,40,9456
3058,478,46,84,18810
247,100,19,49,11412
222,91,16,41,11010
2425,601,62,93,12240
7033,1223,47,75,19040
626,145,12,34,7700
2267,611,20,59,6735
484,177,9,45,7800
3495,528,49,84,18732
4800,1515,14,48,6874
1797,938,24,35,4440
3235,2133,25,65,5028
19873,3215,95,100,11648
15698,2478,85,100,12024
6986,1918,25,60,6618
682,204,22,43,9500
6348,922,68,94,18930
6855,2408,26,57,8907
9735,2064,23,63,11656
681,246,44,74,10760
6361,1507,26,51,11380
14446,3252,22,57,10220
2974,580,29,60,15192
927,415,24,50,11130
576,137,11,39,10430
2096,694,35,67,11800
12445,3623,54,85,7090
11220,3320,43,79,5697
5081,1194,11,26,14220
3580,1627,36,69,4460
14939,5705,52,88,7560
8384,2710,22,50,7230
1487,388,26,51,11120
8579,3681,25,50,6994
1597,226,16,38,13540
4777,1823,16,33,6540
1208,438,20,48,6810
441,172,17,45,6600
461,235,10,40,6600
4269,985,27,57,8594
14292,3409,22,53,8723
14438,3816,12,39,8566
3347,1006,10,37,6919
7122,1643,42,69,16500
19152,4893,66,92,15732
4192,1656,15,45,8828
1458,588,56,86,9843
11054,3524,26,55,8949
3844,1669,26,47,4916
6574,2940,32,62,9057
1877,823,49,77,9057
1618,479,18,54,7246
452,269,17,54,6150
1351,570,18,78,4440
6277,3526,33,63,5595
1209,265,19,54,11450
9750,2529,24,62,11180
1757,394,32,74,5972
14596,3331,75,92,8400
5803,1730,19,62,7248
5191,1500,15,44,8677
6071,1449,15,67,7558
2777,1652,20,54,5634
1800,560,44,85,6634
4418,2049,23,51,4104
5530,1697,12,37,7731
4144,1853,18,52,6197
7700,1906,79,96,16850
4743,2233,32,63,5173
8631,2546,25,61,10602
12394,2464,85,100,17020
8586,2503,25,59,10786
1758,419,27,58,12040
4044,688,51,83,16230
9643,1968,12,40,10330
5892,756,46,72,14500
8766,1243,56,75,17840
3934,886,40,70,13600
2306,538,23,48,13226
285,208,21,43,3687
4471,910,29,60,11584
848,377,14,24,5800
7693,2328,30,66,8074
7589,1876,29,63,6760
12229,2477,45,71,17230
1401,605,10,34,7100
2379,1292,8,25,4973
2850,1046,20,50,4652
2057,828,26,53,11712
374,185,45,77,8550
7473,3013,27,53,5764
3281,1448,19,43,4422
14752,5329,48,85,5130
4217,1686,17,46,4104
974,290,5,22,12520
2459,582,36,66,16320
1445,326,46,83,15350
1712,696,41,68,11750
5095,2400,27,53,6857
7663,1735,18,51,15516
15849,2678,74,95,12212
12749,3343,40,81,8199
1558,472,20,57,6172
2593,1030,9,32,6704
910,342,14,53,7032
4400,1472,12,38,6950
2409,759,17,50,6900
14901,4631,36,80,9096
5244,1930,12,37,8786
2029,1073,23,46,5988
663,192,10,35,8840
1399,308,44,77,14900
325,86,21,47,9600
368,212,5,27,4286
2075,520,49,81,11800
7791,1499,71,92,17865
3550,653,53,87,18920
7759,1477,30,68,15925
4963,1567,18,45,10217
2996,704,2,30,5587
15712,4277,29,53,10260
1847,453,19,59,7384
1470,287,20,49,10900
647,271,17,43,9140
1465,188,10,30,4450
800,256,41,76,12925
1416,417,10,44,13500
5661,903,75,88,13850
1092,477,27,92,8670
440,112,25,49,10000
1231,345,34,66,11600
1305,334,42,64,16260
3315,425,68,93,13750
1209,214,31,60,15276
6540,2440,31,70,8200
7654,1254,62,93,18350
1373,724,6,21,2700
1190,324,12,30,8840
280,79,5,27,5590
665,226,17,44,9160
2895,579,80,96,18345
318,130,40,85,14900
1480,452,6,25,9850
980,350,10,25,9890
4772,712,60,86,19130
6502,1372,11,51,7844
1164,478,12,25,4470
1566,483,28,55,14200
3224,1057,11,31,6390
1205,278,31,50,14510
9167,2738,24,53,6940
1650,409,7,21,8994
2702,604,7,24,5918
5548,1549,30,71,8124
3100,825,3,20,5542
662,184,20,43,10720
996,377,29,58,12065
917,213,21,60,8820
950,351,42,72,14320
1432,548,56,84,11480
1738,417,21,55,18460
903,213,15,49,10500
1861,359,45,77,16670
1681,344,35,63,16249
1121,372,43,70,12660
2139,502,24,64,12350
1631,434,15,36,11150
1658,395,49,80,14800
663,315,32,67,10060
469,227,17,39,10535
4186,526,81,96,19629
167,46,16,50,11428
1239,383,10,34,7820
3325,1301,20,45,4200
2320,769,24,61,6400
152,75,17,41,9100
1979,575,42,68,15948
1501,273,51,83,12680
2768,682,49,86,15884
2197,543,4,26,6797
1959,695,24,47,11520
2097,695,34,61,6900
10705,1317,95,99,19840
2989,691,28,63,4990
